symbol_stack_unwind,num_filesystem_inputs,exit_status,perc_cpu_used,avg_size_unshared_data_area_Kb,num_waits,avg_size_unshared_text_area_Kb,max_resident_size_Kb,cpu_sec_user_mode,num_swapped,symbol_ro_data_local,avg_total_memory_used_Kb,symbol_unique_global,elapsed_real_time_sec,num_major_page_faults,symbol_ro_data_global,num_signals,num_involuntary_context_switch,symbol_text_global,FileName,num_minor_page_faults,symbol_text_local,FileSize,symbol_debug,num_socket_msg_sent,cpu_sec_kernel_mode,num_socket_msg_recv,num_filesystem_outputs
0,256,0,82%,0,162,0,60352,0.42,0,0,0,0,0.59,0,0,0,56,2,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Hash2.c.o,2873,0,1856,0,0,0.06,0,0
0,128,0,80%,0,148,0,60096,0.37,0,0,0,0,0.58,0,0,0,47,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Print.c.o,2871,0,3624,0,0,0.09,0,0
0,128,0,77%,0,148,0,59776,0.38,0,0,0,0,0.60,0,0,0,63,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Stats.c.o,2868,0,3464,0,0,0.07,0,0
0,128,0,86%,0,132,0,59008,0.31,0,0,0,0,0.48,0,0,0,33,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Set_Hash_Fn.c.o,2852,1,2448,0,0,0.11,0,0
0,128,0,86%,0,141,0,62080,0.55,0,0,0,0,0.77,0,0,0,69,2,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Find.c.o,2901,0,10440,0,0,0.10,0,0
0,128,0,87%,0,169,0,61376,0.45,0,0,0,0,0.63,0,0,0,61,3,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Create.c.o,2889,0,7600,0,0,0.09,0,0
0,128,0,84%,0,184,0,60928,0.43,0,0,0,0,0.61,0,0,0,45,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/DDirectory/DD_Set_Neighbor_Hash_Fn2.c.o,2882,4,5608,0,0,0.08,0,0
0,128,0,88%,0,158,0,60352,0.55,0,0,0,0,0.69,0,0,0,35,12,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Memory/mem.c.o,2873,0,12360,0,0,0.05,0,0
0,128,0,85%,0,127,0,59520,0.33,0,0,0,0,0.48,0,0,0,55,2,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Timer/timer.c.o,2860,0,2768,0,0,0.08,0,0
0,128,0,82%,0,162,0,60800,0.46,0,0,0,0,0.66,0,0,0,44,11,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Timer/zoltan_timer.c.o,2880,0,13448,0,0,0.08,0,0
0,128,0,77%,0,146,0,53568,0.17,0,0,0,0,0.36,0,0,0,43,2,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/shared/zoltan_align.c.o,2767,0,816,0,0,0.11,0,0
0,128,0,82%,0,155,0,59456,0.33,0,0,0,0,0.53,0,0,0,40,3,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/shared/zoltan_id.c.o,2859,0,2808,0,0,0.11,0,0
0,128,0,81%,0,135,0,59840,0.33,0,0,0,0,0.59,0,0,0,46,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Communication/comm_invert_map.c.o,2870,0,4056,0,0,0.13,0,0
0,128,0,80%,0,166,0,60352,0.40,0,0,0,0,0.65,0,0,0,45,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Communication/comm_invert_plan.c.o,2878,0,4032,0,0,0.12,0,0
0,256,0,78%,0,142,0,59264,0.28,0,0,0,0,0.52,0,0,0,45,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Communication/comm_exchange_sizes.c.o,2859,0,1832,0,0,0.12,0,0
0,128,0,82%,0,180,0,61376,0.49,0,0,0,0,0.73,0,0,0,45,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Communication/comm_resize.c.o,2894,0,6752,0,0,0.11,0,0
0,128,0,84%,0,226,0,59392,0.38,0,0,0,0,0.60,0,0,0,39,1,packages/zoltan/src/CMakeFiles/zoltan.dir/Utilities/Communication/comm_sort_ints.c.o,2862,0,2952,0,0,0.11,0,0
